year,quarter,sector,ai_productivity_multiplier,source
2024,1,software_engineering,1.0000,Goldman Sachs + Brynjolfsson et al. (2024)
2024,1,knowledge_work,1.0000,Goldman Sachs + Brynjolfsson et al. (2024)
2024,1,manual_labor,1.0000,Goldman Sachs + Brynjolfsson et al. (2024)
2024,1,creative,1.0000,Goldman Sachs + Brynjolfsson et al. (2024)
2024,1,management,1.0000,Goldman Sachs + Brynjolfsson et al. (2024)
2024,1,manufacturing,1.0000,Goldman Sachs + Brynjolfsson et al. (2024)
2024,1,healthcare_education,1.0000,Goldman Sachs + Brynjolfsson et al. (2024)
2024,2,software_engineering,1.4207,Goldman Sachs + Brynjolfsson et al. (2024)
2024,2,knowledge_work,1.2630,Goldman Sachs + Brynjolfsson et al. (2024)
2024,2,manual_labor,1.1581,Goldman Sachs + Brynjolfsson et al. (2024)
2024,2,creative,1.3587,Goldman Sachs + Brynjolfsson et al. (2024)
2024,2,management,1.1927,Goldman Sachs + Brynjolfsson et al. (2024)
2024,2,manufacturing,1.2895,Goldman Sachs + Brynjolfsson et al. (2024)
2024,2,healthcare_education,1.2170,Goldman Sachs + Brynjolfsson et al. (2024)
2024,3,software_engineering,1.5552,Goldman Sachs + Brynjolfsson et al. (2024)
2024,3,knowledge_work,1.3353,Goldman Sachs + Brynjolfsson et al. (2024)
2024,3,manual_labor,1.1880,Goldman Sachs + Brynjolfsson et al. (2024)
2024,3,creative,1.4668,Goldman Sachs + Brynjolfsson et al. (2024)
2024,3,management,1.2373,Goldman Sachs + Brynjolfsson et al. (2024)
2024,3,manufacturing,1.3874,Goldman Sachs + Brynjolfsson et al. (2024)
2024,3,healthcare_education,1.2709,Goldman Sachs + Brynjolfsson et al. (2024)
2024,4,software_engineering,1.6529,Goldman Sachs + Brynjolfsson et al. (2024)
2024,4,knowledge_work,1.3864,Goldman Sachs + Brynjolfsson et al. (2024)
2024,4,manual_labor,1.2081,Goldman Sachs + Brynjolfsson et al. (2024)
2024,4,creative,1.5445,Goldman Sachs + Brynjolfsson et al. (2024)
2024,4,management,1.2679,Goldman Sachs + Brynjolfsson et al. (2024)
2024,4,manufacturing,1.4593,Goldman Sachs + Brynjolfsson et al. (2024)
2024,4,healthcare_education,1.3084,Goldman Sachs + Brynjolfsson et al. (2024)
2025,1,software_engineering,1.7325,Goldman Sachs + Brynjolfsson et al. (2024)
2025,1,knowledge_work,1.4273,Goldman Sachs + Brynjolfsson et al. (2024)
2025,1,manual_labor,1.2236,Goldman Sachs + Brynjolfsson et al. (2024)
