year,country,capability_normalized,source
2018,US,0.370,Frontier benchmark normalization (US=1.0 in 2024)
2018,China,0.352,Frontier benchmark normalization (US=1.0 in 2024)
2018,EU,0.222,Frontier benchmark normalization (US=1.0 in 2024)
2018,UK,0.204,Frontier benchmark normalization (US=1.0 in 2024)
2018,Japan,0.167,Frontier benchmark normalization (US=1.0 in 2024)
2018,S_Korea,0.185,Frontier benchmark normalization (US=1.0 in 2024)
2018,India,0.130,Frontier benchmark normalization (US=1.0 in 2024)
2018,Israel,0.148,Frontier benchmark normalization (US=1.0 in 2024)
2019,US,0.437,Frontier benchmark normalization (US=1.0 in 2024)
2019,China,0.415,Frontier benchmark normalization (US=1.0 in 2024)
2019,EU,0.262,Frontier benchmark normalization (US=1.0 in 2024)
2019,UK,0.240,Frontier benchmark normalization (US=1.0 in 2024)
2019,Japan,0.197,Frontier benchmark normalization (US=1.0 in 2024)
2019,S_Korea,0.219,Frontier benchmark normalization (US=1.0 in 2024)
2019,India,0.153,Frontier benchmark normalization (US=1.0 in 2024)
2019,Israel,0.175,Frontier benchmark normalization (US=1.0 in 2024)
2020,US,0.516,Frontier benchmark normalization (US=1.0 in 2024)
2020,China,0.490,Frontier benchmark normalization (US=1.0 in 2024)
2020,EU,0.309,Frontier benchmark normalization (US=1.0 in 2024)
2020,UK,0.284,Frontier benchmark normalization (US=1.0 in 2024)
2020,Japan,0.232,Frontier benchmark normalization (US=1.0 in 2024)
2020,S_Korea,0.258,Frontier benchmark normalization (US=1.0 in 2024)
2020,India,0.181,Frontier benchmark normalization (US=1.0 in 2024)
2020,Israel,0.206,Frontier benchmark normalization (US=1.0 in 2024)
2021,US,0.609,Frontier benchmark normalization (US=1.0 in 2024)
2021,China,0.578,Frontier benchmark normalization (US=1.0 in 2024)
2021,EU,0.365,Frontier benchmark normalization (US=1.0 in 2024)
2021,UK,0.335,Frontier benchmark normalization (US=1.0 in 2024)
2021,Japan,0.274,Frontier benchmark normalization (US=1.0 in 2024)
2021,S_Korea,0.304,Frontier benchmark normalization (US=1.0 in 2024)
2021,India,0.213,Frontier benchmark normalization (US=1.0 in 2024)
2021,Israel,0.243,Frontier benchmark normalization (US=1.0 in 2024)
2022,US,0.718,Frontier benchmark normalization (US=1.0 in 2024)
2022,China,0.682,Frontier benchmark normalization (US=1.0 in 2024)
2022,EU,0.431,Frontier benchmark normalization (US=1.0 in 2024)
2022,UK,0.395,Frontier benchmark normalization (US=1.0 in 2024)
2022,Japan,0.323,Frontier benchmark normalization (US=1.0 in 2024)
2022,S_Korea,0.359,Frontier benchmark normalization (US=1.0 in 2024)
2022,India,0.251,Frontier benchmark normalization (US=1.0 in 2024)
2022,Israel,0.287,Frontier benchmark normalization (US=1.0 in 2024)
2023,US,0.847,Frontier benchmark normalization (US=1.0 in 2024)
2023,China,0.805,Frontier benchmark normalization (US=1.0 in 2024)
2023,EU,0.508,Frontier benchmark normalization (US=1.0 in 2024)
2023,UK,0.466,Frontier benchmark normalization (US=1.0 in 2024)
2023,Japan,0.381,Frontier benchmark normalization (US=1.0 in 2024)
2023,S_Korea,0.424,Frontier benchmark normalization (US=1.0 in 2024)
2023,India,0.297,Frontier benchmark normalization (US=1.0 in 2024)
2023,Israel,0.339,Frontier benchmark normalization (US=1.0 in 2024)
2024,US,1.000,Frontier benchmark normalization (US=1.0 in 2024)
2024,China,0.950,Frontier benchmark normalization (US=1.0 in 2024)
2024,EU,0.600,Frontier benchmark normalization (US=1.0 in 2024)
2024,UK,0.550,Frontier benchmark normalization (US=1.0 in 2024)
2024,Japan,0.450,Frontier benchmark normalization (US=1.0 in 2024)
2024,S_Korea,0.500,Frontier benchmark normalization (US=1.0 in 2024)
2024,India,0.350,Frontier benchmark normalization (US=1.0 in 2024)
2024,Israel,0.400,Frontier benchmark normalization (US=1.0 in 2024)
2025,US,1.180,Frontier benchmark normalization (US=1.0 in 2024)
2025,China,1.121,Frontier benchmark normalization (US=1.0 in 2024)
2025,EU,0.708,Frontier benchmark normalization (US=1.0 in 2024)
2025,UK,0.649,Frontier benchmark normalization (US=1.0 in 2024)
2025,Japan,0.531,Frontier benchmark normalization (US=1.0 in 2024)
2025,S_Korea,0.590,Frontier benchmark normalization (US=1.0 in 2024)
2025,India,0.413,Frontier benchmark normalization (US=1.0 in 2024)
2025,Israel,0.472,Frontier benchmark normalization (US=1.0 in 2024)
2026,US,1.392,Frontier benchmark normalization (US=1.0 in 2024)
2026,China,1.323,Frontier benchmark normalization (US=1.0 in 2024)
2026,EU,0.835,Frontier benchmark normalization (US=1.0 in 2024)
2026,UK,0.766,Frontier benchmark normalization (US=1.0 in 2024)
2026,Japan,0.627,Frontier benchmark normalization (US=1.0 in 2024)
2026,S_Korea,0.696,Frontier benchmark normalization (US=1.0 in 2024)
2026,India,0.487,Frontier benchmark normalization (US=1.0 in 2024)
2026,Israel,0.557,Frontier benchmark normalization (US=1.0 in 2024)
